Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,48868573,28/04/2025 17:39,28/04/2025 18:42,XAUUSD,Sell,0.500,0.00000,0.00000,3327.70000,3319.91000,0.0000,0.0000,779.0,389.50,0.49,"",0,00:01:02:57,,,,,,,,,,,,
,48877057,28/04/2025 17:46,28/04/2025 18:42,XAUUSD,Sell,0.500,0.00000,0.00000,3330.60000,3319.95000,0.0000,0.0000,1065.0,532.50,0.68,"",0,00:00:56:09,,,,,,,,,,,,
,48868668,28/04/2025 17:39,28/04/2025 17:46,XAUUSD,Buy,0.500,0.00000,0.00000,3327.02000,3330.02000,0.0000,0.0000,300.0,150.00,0.19,"",0,00:00:06:31,,,,,,,,,,,,
,48859228,28/04/2025 17:34,28/04/2025 17:37,XAUUSD,Buy,0.500,0.00000,0.00000,3320.98000,3323.84000,0.0000,0.0000,286.0,143.00,0.18,"",0,00:00:02:41,,,,,,,,,,,,
,48849039,28/04/2025 17:27,28/04/2025 17:34,XAUUSD,Buy,0.500,0.00000,0.00000,3313.70000,3320.33000,0.0000,0.0000,663.0,331.50,0.43,"",0,00:00:07:09,,,,,,,,,,,,
,48849172,28/04/2025 17:27,28/04/2025 17:34,XAUUSD,Buy,0.500,0.00000,0.00000,3315.01000,3320.39000,0.0000,0.0000,538.0,269.00,0.35,"",0,00:00:06:53,,,,,,,,,,,,
,47721476,25/04/2025 13:38,28/04/2025 17:27,XAUUSD,Buy,0.500,0.00000,0.00000,3304.91000,3313.80000,0.0000,0.0000,889.0,444.50,0.58,"",0,03:03:48:33,,,,,,,,,,,,
,48283825,28/04/2025 04:36,28/04/2025 17:27,XAUUSD,Buy,0.500,0.00000,0.00000,3287.16000,3314.11000,0.0000,0.0000,2695.0,1347.50,1.78,"",0,00:12:51:00,,,,,,,,,,,,
,48510467,28/04/2025 09:58,28/04/2025 17:27,XAUUSD,Buy,0.500,0.00000,0.00000,3282.71000,3314.18000,0.0000,0.0000,3147.0,1573.50,2.12,"",0,00:07:28:41,,,,,,,,,,,,
,48309827,28/04/2025 05:03,28/04/2025 17:26,XAUUSD,Buy,0.500,0.00000,0.00000,3276.04000,3314.65000,0.0000,0.0000,3861.0,1930.50,2.67,"",0,00:12:23:55,,,,,,,,,,,,
,47862041,25/04/2025 16:21,25/04/2025 22:24,USOUSD,Buy,0.500,0.00000,63.63200,62.59000,63.64100,0.0000,0.0000,105.1,525.50,0.73,"[tp 63.632]",0,00:06:03:04,,,,,,,,,,,,
,46729683,24/04/2025 11:12,25/04/2025 22:23,USOUSD,Buy,1.000,0.00000,63.60500,63.26200,63.60600,0.0000,0.0000,34.4,344.00,0.48,"[tp 63.605]",0,01:11:11:17,,,,,,,,,,,,
,47995012,25/04/2025 20:20,25/04/2025 21:08,XAUUSD,Sell,0.500,3296.94000,0.00000,3290.48000,3296.99000,0.0000,0.0000,-651.0,-325.50,-0.45,"[sl 3296.94]",0,00:00:48:05,,,,,,,,,,,,
,47925500,25/04/2025 17:18,25/04/2025 21:06,XAUUSD,Sell,0.500,3295.67000,0.00000,3279.98000,3296.01000,0.0000,0.0000,-1603.0,-801.50,-1.10,"[sl 3295.67]",0,00:03:48:48,,,,,,,,,,,,
,47860375,25/04/2025 16:19,25/04/2025 17:15,XAUUSD,Buy,0.500,0.00000,0.00000,3277.06000,3281.61000,0.0000,0.0000,455.0,227.50,0.31,"",0,00:00:56:15,,,,,,,,,,,,
,47869027,25/04/2025 16:28,25/04/2025 17:15,XAUUSD,Buy,0.500,0.00000,0.00000,3269.40000,3281.61000,0.0000,0.0000,1221.0,610.50,0.85,"",0,00:00:47:13,,,,,,,,,,,,
,47797302,25/04/2025 15:20,25/04/2025 16:18,XAUUSD,Sell,0.500,0.00000,3272.02000,3293.43000,3271.79000,0.0000,0.0000,2164.0,1082.00,1.53,"[tp 3272.02]",0,00:00:58:12,,,,,,,,,,,,
,47536231,25/04/2025 09:21,25/04/2025 13:38,XAUUSD,Buy,0.500,0.00000,0.00000,3298.04000,3304.70000,0.0000,0.0000,666.0,333.00,0.47,"",0,00:04:16:40,,,,,,,,,,,,
,47679892,25/04/2025 12:43,25/04/2025 13:33,XAUUSD,Sell,0.500,0.00000,0.00000,3298.81000,3304.78000,0.0000,0.0000,-597.0,-298.50,-0.42,"",0,00:00:50:11,,,,,,,,,,,,
